"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2020468","Land Only","S","PS418 212 DAVIE STREET","Yaletown",,,,"Vancouver West","Vancouver","10/30/2016","DORIS",,"$0.00","12/13/2015","800-101-364",,,"3/16/2016","$33,000","$194.12","0.94",,,"RES","$35,000","94",,"$194.12","0.94","Other"
"R2040907","Residential Detached","S","120 8420 ALASKA ROAD","Fort St. John - City SE","1974","Manufactured","42","Fort St. John (Zone 60)","Fort St. John","2/26/2017","SANDRA","1","$579.45","2/26/2016","800-103-283",,,"3/17/2016","$38,000","$50.26","0.85","1","1","R3","$44,900","20","756","$50.26","0.85","Manufactured"
"R2045394","Residential Detached","S","172 7790 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","40","Surrey","Surrey","10/31/2016","Les Wellman","2","$85.00","3/14/2016","900-578-425",,,"3/17/2016","$40,000","$44.44","0.93","2","3","MHP","$42,900","3","900","$44.44","0.93","Manufactured"
"N248221","Land Only","S","1909 SKYLINE DRIVE","Aberdeen PG",,,,"PG City North (Zone 73)","Prince George","8/31/2016","OR TEXT BOB QUINLAN",,"$892.00","8/26/2015","015-707-342",,,"3/20/2016","$40,000",,"0.80",,,"RM3","$49,900","207",,,"0.80","Duplex"
"R2040875","Residential Detached","S","237 1840 160 STREET","King George Corridor","1973","Manufactured","43","South Surrey White Rock","Surrey","7/30/2016","Les Wellman","1","$107.00","2/27/2016","900-578-106",,,"3/17/2016","$44,900","$52.82","1.00","1","3","MHP","$44,900","19","850","$52.82","1.00","Manufactured"
"R2030759","Residential Detached","S","85 4430 16 HIGHWAY","Smithers - Town","1983","Manufactured","33","Smithers And Area (Zone 54)","Smithers","12/15/2016","DAVE","1","$915.36","2/2/2016","800-102-445",,,"3/17/2016","$50,000","$40.65","0.72","1","2","R-4","$69,500","44","1,230","$40.65","0.72","Manufactured"
"R2011749","Residential Detached","S","42 5701 AIRPORT DRIVE","Fort Nelson - Rural","2003","Manufactured","14","Fort Nelson (Zone 64)","Fort Nelson","4/27/2016","SANDY OR BARB","2","$1,018.95","10/27/2015","800-100-184",,,"3/17/2016","$52,000","$42.76","0.65","2","3","MHP","$79,900","142","1,216","$42.76","0.65","Manufactured"
"R2029753","Residential Attached","S","304A 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","15","Whistler","Whistler","9/21/2016","ALLYSON SUTTON","1","$2,253.09","1/26/2016","024-967-581",,"$350.00","3/17/2016","$57,000","$96.77","1.00","1","1","CC2","$57,000","51","589","$96.77","1.00","Apartment/Condo"
"R2021562","Residential Detached","S","142 27111 0 AVENUE","Aldergrove Langley","1979","Manufactured","37","Langley","Langley","6/19/2016","Danyel","2","$848.10","12/19/2015","900-577-330",,,"3/19/2016","$62,000","$73.81","0.91","2","2","MHP","$68,500","91","840","$73.81","0.91","Manufactured"
"R2039137","Residential Detached","S","2101 BLACKWATER ROAD","Bouchie Lake","9999","House with Acreage","999","Quesnel (Zone 28)","Quesnel","6/30/2016","BOBBI","1","$912.51","2/25/2016","013-289-845",,,"3/16/2016","$63,500","$30.59","0.91","1","3","R2","$69,900","20","2,076","$30.59","0.91","House with Acreage"
"V1066630","Land Only","S","1464 EAGLE CLIFF ROAD","Bowen Island",,,,"Bowen Island","Bowen Island","4/30/2016","Hal",,"$804.00","5/26/2014","018-631-291",,,"3/19/2016","$65,000","$13.82","0.66",,,"LAND","$99,000","663",,"$13.82","0.59","Other"
"R2011783","Land Only","S","11919 WILSON STREET","Stave Falls",,,,"Mission","Mission","10/27/2016","Mirela",,"$14.90","10/27/2015","000-788-473",,,"3/17/2016","$65,000","$5.97","0.87",,,"RU-16","$75,000","142",,"$5.97","0.60","Other"
"N244504","Land Only","S","308 BLACKSTOCK ROAD","100 Mile House - Town",,,,"100 Mile House (Zone 10)","100 Mile House","6/30/2016","DIANE COBER",,"$823.00","4/28/2015","029-001-102",,,"3/20/2016","$65,000",,"0.93",,,"ER2","$69,900","321",,,"0.93","House/Single Family"
"R2027893","Residential Detached","S","47450 TRANS CANADA HIGHWAY","Boston Bar - Lytton","9999","Manufactured with Land","999","Hope","Boston Bar","12/31/2016","MIKE BAIRD","1","$890.00","1/22/2016","010-382-798",,,"3/20/2016","$66,000","$73.33","0.84","1","2","N/A","$79,000","58","900","$73.33","0.84","Manufactured with Land"
"R2012051","Land Only","S","DL 6707 TCHESINKUT LAKE","Burns Lake - Rural South",,,,"Burns Lake (Zone 55)","Burns Lake","10/27/2016","GORDIE SHANKS",,"$851.94","10/28/2015","015-296-334",,,"3/17/2016","$67,000",,"1.00",,,"ISLAND","$67,000","141",,,"1.00","Other"
"N248386","Land Only","S","LOT D N FRANCOIS ROAD","Burns Lake - Rural South",,,,"Burns Lake (Zone 55)","Burns Lake","9/2/2016","REMAX WRIGHTWAY",,"$483.00","9/3/2015","011-607-882",,,"3/18/2016","$70,000",,"0.72",,,"N/A","$97,900","197",,,"0.72","House/Single Family"
"R2040150","Residential Detached","S","990 LARCH STREET","Williams Lake - City","1974","Manufactured with Land","42","Williams Lake (Zone 27)","Williams Lake","6/22/2016","GARTH","1","$1,017.28","2/23/2016","005-723-868",,,"3/17/2016","$73,600","$73.60","0.98","1","2","R1","$74,900","23","1,000","$73.60","0.98","Manufactured with Land"
"R2041420","Residential Attached","S","35 301 STUART DRIVE","Mackenzie -Town","9999","Townhouse","999","Mackenzie (Zone 69)","Mackenzie","8/31/2016","RICK OR MELISSA","1","$963.50","3/1/2016","023-675-292",,"$175.00","3/20/2016","$75,000","$52.08","0.94","1","3","RM1","$79,900","19","1,440","$52.08","0.94","Townhouse"
"R2008944","Residential Detached","S","126 3300 HORN STREET","Central Abbotsford","1997","Manufactured","19","Abbotsford","Abbotsford","7/30/2016","Wendy Forcier","1","$556.56","10/15/2015","900-576-819",,,"3/16/2016","$75,000","$65.33","0.94","2","2","RES","$79,900","153","1,148","$65.33","0.94","Manufactured"
"R2026463","Residential Attached","S","109 12170 222 STREET","West Central","1976","Apartment/Condo","40","Maple Ridge","Maple Ridge","6/15/2016","Terri","1","$1,092.70","1/19/2016","000-487-953",,"$227.75","3/17/2016","$85,000","$111.11","0.96","1","1","STRATA","$88,800","58","765","$111.11","0.96","Apartment/Condo"
"R2039301","Residential Attached","S","104 32070 PEARDONVILLE ROAD","Abbotsford West","1981","Apartment/Condo","35","Abbotsford","Abbotsford","12/31/2016","Touchbase preferred for record","1","$670.46","2/22/2016","001-866-711",,"$314.55","3/19/2016","$85,750","$77.11","0.86","1","2","MF","$99,900","26","1,112","$77.11","0.86","Apartment/Condo"
"R2044599","Residential Attached","S","110 9186 EDWARD STREET","Chilliwack W Young-Well","1990","Apartment/Condo","26","Chilliwack","Chilliwack","7/31/2016","Russell","2","$873.39","3/10/2016","016-185-285",,"$205.00","3/17/2016","$87,750","$91.41","0.88","2","1","R6","$99,900","7","960","$91.41","0.88","Apartment/Condo"
"R2025691","Residential Detached","S","2020 E KENWORTH ROAD","Mount Alder","1983","Manufactured with Land","33","PG City North (Zone 73)","Prince George","7/13/2016","KEVEN","1","$1,168.99","1/13/2016","004-005-058",,,"3/16/2016","$90,000","$72.35","0.95","1","3","RS2M","$94,900","63","1,244","$72.35","0.90","Manufactured with Land"
"R2047582","Residential Detached","S","18 2035 MARTENS STREET","Poplar","2004","Manufactured","12","Abbotsford","Abbotsford","6/30/2016","Touchbase please or call Cyndi","2","$632.95","3/18/2016","900-561-633",,,"3/18/2016","$95,000","$102.81","0.95","2","2","MHP","$100,000","0","924","$102.81","0.95","Manufactured"
"V1135884","Land Only","S","151 EAST POINT ROAD","Saturna Island",,,,"Islands-Van. & Gulf","Saturna Island","5/31/2016","SUSANNE",,"$1,158.00","7/21/2015","003-742-199",,,"3/19/2016","$100,000",,"0.80",,,"RG","$125,000","242",,,"0.80","House/Single Family"
"R2048608","Residential Detached","S","7513 GAUTHIER ROAD","Deka/Sulphurous/Hathaway Lakes","9999","Manufactured with Land","999","100 Mile House (Zone 10)","100 Mile House","5/31/2016","ROBERT YOUNG","1","$880.25","3/11/2016","007-808-984",,,"3/17/2016","$100,000","$69.44","0.69","1","3","R-1","$145,000","6","1,440","$69.44","0.69","Manufactured with Land"
"N243639","Land Only","S","7378 TAYLOR LAKE ROAD","Lone Butte/Green Lk/Watch Lk",,,,"100 Mile House (Zone 10)","Lone Butte","6/1/2016","ROBERT YOUNG",,"$692.00","3/30/2015","023-077-603",,,"3/19/2016","$100,000",,"0.74",,,"RR-1","$135,000","348",,,"0.63","Other"
"R2007473","Land Only","S","43761 LOCH ROAD","Lake Errock",,,,"Mission","Mission","5/17/2016","Touchbase Tim",,"$1,471.16","10/9/2015","008-652-333",,,"3/20/2016","$100,000","$44.21","0.80",,,"RES","$125,000","163",,"$44.21","0.80","Other"
"R2020314","Residential Attached","S","212 15153 FRASER HIGHWAY","Fleetwood Tynehead","1979","Apartment/Condo","37","Surrey","Surrey","3/31/2016","STEVEN","1","$738.90","12/10/2015","001-545-001",,"$138.40","3/16/2016","$102,000","$204.82","0.93","1","0","APT","$109,900","97","498","$204.82","0.93","Apartment/Condo"
"R2020567","Residential Detached","S","22 8254 134 STREET","Queen Mary Park Surrey","1978","Manufactured","38","Surrey","Surrey","6/30/2016","TOUCHBASE","2","$301.00","12/14/2015","900-526-385",,,"3/20/2016","$103,500","$89.84","0.95","2","2","MHP","$109,000","97","1,152","$89.84","1.04","Manufactured"
"R2043215","Residential Detached","S","609 DOUGLAS STREET","Central","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","7/20/2016","TEXT LEAH","1","$1,299.16","3/4/2016","007-888-198",,,"3/19/2016","$105,000","$80.77","0.81","1","1","URS3A","$129,900","15","1,300","$80.77","0.81","House/Single Family"
"R2042348","Residential Detached","S","51 13650 80 AVENUE","Bear Creek Green Timbers","1975","Manufactured","41","Surrey","Surrey","6/30/2016","TOUCHBASE OR CALL ANDREA","2","$453.86","3/3/2016","900-578-285",,,"3/19/2016","$110,000","$76.39","0.93","2","3","MHP","$117,900","16","1,440","$76.39","0.93","Manufactured"
"R2047366","Land Only","S","5114 COHO PLACE","Terrace - City",,,,"Terrace (Zone 88)","Terrace","6/16/2016","DARREN BEAULIEU",,"$1,017.36","3/16/2016","027-357-678",,,"3/18/2016","$110,000","$10.22","0.96",,,"R1","$114,900","2",,"$10.22","0.96","Other"
"R2040443","Residential Attached","S","111 13507 96 AVENUE","Whalley","1984","Apartment/Condo","32","North Surrey","Surrey","6/1/2016","Tod","1","$766.17","3/1/2016","002-176-246",,"$225.93","3/20/2016","$114,900","$146.37","0.97","1","1","MR70","$117,900","19","785","$146.37","0.97","Apartment/Condo"
"R2046206","Residential Detached","S","138 3665 244 STREET","Otter District","1980","Manufactured","36","Langley","Langley","9/12/2016","Nell Haygarth","1","$378.93","3/12/2016","900-578-431",,,"3/20/2016","$116,000","$103.11","0.97","1","2","MHP","$119,900","8","1,125","$103.11","0.97","Manufactured"
"R2038657","Residential Attached","S","314 910 FIFTH AVENUE","Uptown NW","1975","Apartment/Condo","41","New Westminster","New Westminster","8/31/2016","Carol McLintock","1","$25,424.72","2/24/2016","024-382-612",,"$236.00","3/18/2016","$119,000","$188.89","0.86","1","1","APART","$138,800","23","630","$188.89","0.86","Apartment/Condo"
"R2017688","Residential Detached","S","49 7790 KING GEORGE BOULEVARD","East Newton","2015","Manufactured","1","Surrey","Surrey","6/30/2016","LES WELLMAN","2","$0.00","11/25/2015","900-577-173",,,"3/16/2016","$119,900","$113.54","1.00","2","3","MHP","$119,900","112","1,056","$113.54","1.04","Manufactured"
"R2035592","Residential Detached","S","10 8254 134 STREET","Queen Mary Park Surrey","1998","Manufactured","18","Surrey","Surrey","5/17/2016","TOUCHBASE RAY","2","$526.54","2/17/2016","900-578-025",,,"3/18/2016","$122,000","$105.90","0.98","2","2","MHP","$124,800","30","1,152","$105.90","0.98","Manufactured"
"R2042933","Residential Attached","S","222 7610 EVANS ROAD","Sardis West Vedder Rd","1992","Townhouse","24","Sardis","Chilliwack","6/2/2016","HEATHER","2","$0.00","3/2/2016","797-610-652","1","$250.00","3/16/2016","$126,000","$119.43","0.95","2","2","R-5","$133,000","14","1,055","$119.43","0.95","Townhouse"
"R2021585","Residential Attached","S","375 8160 WILLIAMS ROAD","South Arm","1973","Apartment/Condo","43","Richmond","Richmond","12/31/2016","AMINA","1","$0.00","12/23/2015","008-399-859","3","$508.00","3/19/2016","$126,000","$145.50","0.92","1","2","RES","$136,800","87","866","$145.50","0.92","Apartment/Condo"
"R2022904","Residential Attached","S","303 11595 FRASER STREET","East Central","1992","Apartment/Condo","24","Maple Ridge","Maple Ridge","7/6/2016","RANDY DELAIR","1","$1,851.58","1/6/2016","016-854-900","4","$170.96","3/18/2016","$126,000","$187.78","0.97","1","1","APT","$129,900","72","671","$187.78","0.97","Apartment/Condo"
"R2041122","Residential Attached","S","501 715 ROYAL AVENUE","Uptown NW","1978","Apartment/Condo","38","New Westminster","New Westminster","8/29/2016","SANDY","1","$877.00","2/29/2016","001-700-316",,"$342.85","3/16/2016","$133,000","$224.28","0.99","1","1","RM2","$135,000","16","593","$224.28","0.99","Apartment/Condo"
"F1437657","Residential Attached","S","218 2233 MCKENZIE ROAD","Central Abbotsford","2009","Apartment/Condo","7","Abbotsford","Abbotsford","6/17/2016","JEFF","1","$1,146.00","4/8/2015","027-896-498",,"$179.00","3/17/2016","$138,000","$201.17","0.99","1","1","RML","$139,000","344","686","$201.17","0.90","Apartment/Condo"
"R2020465","Residential Attached","S","3 32286 7TH AVENUE","Mission BC","1989","Townhouse","27","Mission","Mission","6/30/2016","June","1","$1,850.00","12/11/2015","010-959-653","2","$170.00","3/19/2016","$140,000","$140.00","0.99","1","2","RM2","$141,000","99","1,000","$140.00","0.89","Townhouse"
"R2036376","Residential Attached","S","209 19774 56 AVENUE","Langley City","2007","Apartment/Condo","9","Langley","Langley","8/8/2016","Touchbase Please","1","$858.52","2/17/2016","026-820-099",,"$161.00","3/19/2016","$149,000","$280.08","0.99","1","1","RM","$149,900","31","532","$280.08","0.99","Apartment/Condo"
"R2008585","Residential Detached","S","71659 PITCH PLACE","Hope Sunshine Valley","1977","House/Single Family","39","Hope","Sunshine Valley","4/12/2016","RICH","1","$941.99","10/12/2015","007-012-543",,,"3/18/2016","$149,900","$156.80","0.95","1","2","RS1","$157,500","158","956","$156.80","0.95","House/Single Family"
"R2017073","Residential Detached","S","39 7790 KING GEORGE BOULEVARD","East Newton","2015","Manufactured","1","Surrey","Surrey","6/20/2016","Les Wellman","2",,"11/23/2015","900-577-124",,,"3/16/2016","$149,900","$124.92","1.00","2","3","MHP","$149,900","114","1,200","$124.92","1.00","Manufactured"
"R2037113","Residential Attached","S","202 11957 223 STREET","West Central","1975","Apartment/Condo","41","Maple Ridge","Maple Ridge","7/31/2016","DEBBIE","1","$1,217.77","2/21/2016","000-550-795","3","$348.67","3/17/2016","$150,000","$148.51","0.98","1","2","APT","$152,900","25","1,010","$148.51","0.98","Apartment/Condo"
"R2031488","Residential Attached","S","314 6359 198 STREET","Willoughby Heights","1998","Apartment/Condo","18","Langley","Langley","7/31/2016","Patti","1","$1,691.25","2/3/2016","024-020-630","4","$195.62","3/18/2016","$152,000","$254.18","0.89","1","1","MF","$169,900","44","598","$254.18","0.89","Apartment/Condo"
"R2029672","Residential Attached","S","38 2938 TRAFALGAR STREET","Central Abbotsford","1988","Townhouse","28","Abbotsford","Abbotsford","8/31/2016","Andreas","2","$1,148.03","1/29/2016","011-041-285","2","$333.00","3/18/2016","$155,000","$135.25","0.97","2","2","RES","$159,900","49","1,146","$135.25","0.97","Townhouse"
"R2028632","Residential Attached","S","14 9206 CORBOULD STREET","Chilliwack W Young-Well","1992","Townhouse","24","Chilliwack","Chilliwack","8/1/2016","BRYAN","1","$1,251.31","1/25/2016","018-227-465","2","$150.00","3/16/2016","$158,000","$151.92","0.98","2","2","R5","$161,900","51","1,040","$151.92","0.97","Townhouse"
"R2010945","Residential Detached","S","2727 REED ROAD","Williams Lake - Rural South","1978","House with Acreage","38","Williams Lake (Zone 27)","Williams Lake","10/18/2016","VERA ROBSON","1","$788.73","10/19/2015","008-956-511",,,"3/18/2016","$160,000","$84.21","0.94","1","2","R1","$170,000","151","1,900","$84.21","0.94","House with Acreage"
"R2017162","Residential Detached","S","145 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1990","Manufactured with Land","26","Sardis","Sardis - Chwk River Valley","5/29/2016","MICHELLE CLEMENT","1","$1,185.84","11/20/2015","001-420-534",,"$200.00","3/18/2016","$160,000","$150.94","0.91","1","2","RMH","$174,900","119","1,060","$150.94","0.91","Manufactured with Land"
"R2027970","Residential Attached","S","407 33960 OLD YALE ROAD","Central Abbotsford","2006","Apartment/Condo","10","Abbotsford","Abbotsford","9/30/2016","David","1","$1,212.25","1/19/2016","026-970-309","4","$262.00","3/17/2016","$161,500","$189.33","0.98","1","2","MF","$164,800","58","853","$189.33","0.98","Apartment/Condo"
"R2017440","Land Only","S","LOT 9 AURORA WAY","Gibsons & Area",,,,"Sunshine Coast","Gibsons","11/18/2016","KIM",,"$0.00","11/25/2015","029-737-095",,,"3/18/2016","$162,000","$26.83","0.96",,,"R3","$169,000","114",,"$26.83","0.96","Other"
"R2047724","Residential Attached","S","310 2565 CAMPBELL AVENUE","Central Abbotsford","2015","Apartment/Condo","1","Abbotsford","Abbotsford","7/16/2016","Touchbase please","1","$0.00","3/16/2016","029-489-679","4","$128.95","3/16/2016","$162,900","$276.10","1.00","1","1","RML","$162,900","0","590","$276.10","1.00","Apartment/Condo"
"R2021921","Land Only","S","8012 ROLLS STREET","Hatzic",,,,"Mission","Mission","12/31/2016","JANELLE TIEGEN",,"$325.56","12/30/2015","013-088-581",,,"3/17/2016","$165,000",,"0.72",,,"RES","$229,000","78",,,"0.72","Other"
"R2036466","Residential Attached","S","407 10788 139 STREET","Whalley","2006","Apartment/Condo","10","North Surrey","Surrey","4/18/2016","DMITRI/VALERIE","1","$1,049.07","2/17/2016","026-891-361",,"$227.82","3/19/2016","$167,000","$278.33","0.98","1","1","RES","$169,900","31","600","$278.33","0.98","Apartment/Condo"
