"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"F1306090","Residential Detached","S","28 12662 112A STREET","Bridgeview","1972","Manufactured","41","North Surrey","Surrey","9/30/2013","LES","1",,"3/11/2013","900-566-124",,,"9/5/2013","$1,000","$1.39","0.07","1","2","MHP","$15,000","178","720","$1.39","0.05","Manufactured","1",,"604-581-3838","S-$500","PHILLIP",,"0","0.00",,"$455.00","2","V3V 8B6",,"UPON ACCEPTED OFFER","BC",,,,
"N230725","Land Only","S","BOOTH ROAD","Salmon Valley",,,,"PG Rural North (Zone 76)","Salmon Valley","12/17/2013","HANS OR KIRK",,"$55.00","9/5/2013","016-069-005",,,"9/14/2013","$8,500",,"0.86",,,"R3","$9,900","9",,,"0.86","Other",,"No Access","250-562-2121","4%",,"1320",,"1,320.00","No",,,"V2K 5X2","Not Known",,"BC","None",,"None","None"
"N229563","Land Only","S","43506 O'CONNOR ROAD","Hixon",,,,"PG Rural South (Zone 78)","Hixon","10/19/2013","TIM",,"$686.00","7/19/2013","008-291-896",,,"9/6/2013","$13,000",,"0.87",,,"RR-2","$14,900","49",,,"0.65","Other",,"Road Access","250-640-8899","3.22% 1ST $100,000/1.15% REM (MINIMUM $1000)",,,,"0.00","Yes",,,"V0K 1S0","Not Known",,"BC","Unknown",,"None","None"
"N227590","Land Only","S","4891 TELQUA DRIVE","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","11/21/2013","KAREN",,"$811.00","5/21/2013","007-869-401",,,"9/10/2013","$13,000",,"0.70",,,"R1-1","$18,500","112",,,"0.52","House/Single Family",,"Road Access","250-395-3422","3.22%",,"195",,"122.00","Yes",,,"V0K 2Z0",,,"BC","None",,"None","None"
"H1301065","Residential Detached","S","17 44565 MONTE VISTA STREET","Vedder S Watson-Promontory","1978","Manufactured","35","Sardis","Sardis","11/1/2013","GARRY OR HEIDI","1","$349.00","3/14/2013","700-008-670",,,"9/5/2013","$13,500","$12.96","0.73","1","1","MHP","$18,500","175","1,042","$12.96","0.48","Manufactured","1",,"604-858-7179","5% L 1/2 BF","MOUNTAINVIEW MOBILE HOME PARK",,"0","0.00",,"$509.16","2","V2R 5Y4",,,"BC",,,,
"H1300650","Residential Detached","S","16 3942 COLUMBIA VALLEY HIGHWAY","Cultus Lake","1970","Manufactured","43","Cultus Lake","Cultus Lake","9/30/2013","CAROLE OR TOUCHBASE","1","$73.00","2/12/2013","793-942-268",,,"9/7/2013","$14,000","$19.44","0.78","1","1","RMH","$17,900","207","720","$19.44","0.61","Manufactured","1",,"604-859-2341","$1500 L 1/2 BF","CULTUS LAKE VILLAGE",,"1","0.00",,"$404.00",,"V2R 5B9",,"UPON ACC.","BC",,,,
"N229296","Residential Detached","S","51 997 20 HIGHWAY","Williams Lake - Rural West","1983","Manufactured","30","Williams Lake (Zone 27)","Williams Lake","11/29/2013","GEORDIE/CINDY","1","$277.00","7/12/2013","800-078-129",,,"9/12/2013","$17,000","$18.40","0.71","1","2","MHP","$24,000","62","924","$18.40","0.71","Manufactured","1",,"250-398-0600","$1000 + GST","CHILCOTIN ESTATES MHP",,"0","0.00",,"$295.00","2","V2G 4X7",,,"BC",,,,
"N223296","Land Only","S","LOT 13 GOLD DIGGER DRIVE","150 Mile House",,,,"Williams Lake (Zone 27)","150 Mile House","10/26/2013","LINDA",,"$350.00","10/26/2012","023-898-526",,,"9/10/2013","$18,900",,"0.95",,,"RR3","$20,000","319",,,"0.65","House/Single Family",,"Allowed Access","250-620-3440","3.5%","FRONTIER ESTATES",,,"0.00","Yes",,,"V0K 2G0","No",,"BC","None",,"None","None"
"N229770","Residential Detached","S","7642 FARQUHARSON ROAD","Deka/Sulphurous/Hathaway Lakes","2012","Recreational","5","100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","9/30/2013","BRENDA","0","$197.00","7/25/2013","007-345-909",,,"9/5/2013","$19,000","$131.94","0.79","0","0","R1","$23,900","42","144","$131.94","0.69","Recreational","0",,"250-791-9200","3.4%","DEKA LAKE",,"0","0.00",,,,"V0K 1X3",,,"BC",,,,
"F1321518","Residential Detached","S","53 26892 FRASER HIGHWAY","Aldergrove Langley","1977","Manufactured","36","Langley","Langley","4/2/2014","Lori Prince","1","$174.00","9/5/2013","900-568-546",,,"9/10/2013","$19,900","$25.13","1.00","1","2","MH","$19,900","5","792","$25.13","1.00","Manufactured","1",,"604-857-1100","S-4.6%","Aldergrove Trailer park",,"0","0.00",,"$560.00","3","V4W 3T6",,,"BC",,,,
"N226348","Land Only","S","LTS 4& 5 CHUCHI LAKE","Fort St. James - Rural",,,,"Fort St. James (Zone 57)","Fort St. James","4/30/2014","EVELYN",,"$163.00","4/15/2013","005-878-691",,,"9/12/2013","$22,000",,"0.40",,,"R-3","$55,000","150",,,"0.40","House/Single Family",,"Road Access","250-996-8618","3%",,,,"0.00","Yes",,,"V0J 1P0","Not Known",,"BC","None",,"None","None"
"H1303171","Residential Detached","S","37 22885 TRANS CANADA HIGHWAY","Hope Center","1975","Manufactured","38","Hope","Hope","11/9/2013","WAYNE DYBLE","2","$403.00","8/9/2013","700-000-159",,,"9/13/2013","$28,000","$22.40","0.95","2","3","MHP-1","$29,500","35","1,250","$22.40","0.84","Manufactured","1",,"604-869-2945","$1750. L 1/2 BF",,,"1","0.00",,"$365.00","4","V0X 1L3",,,"BC",,,,
"N228658","Residential Detached","S","1665 POND ROAD","Kitwanga","1970","Manufactured with Land","43","Smithers And Area (Zone 54)","Kitwanga","3/31/2014","LR","1","$184.00","6/19/2013","010-213-180",,,"9/9/2013","$30,000","$27.17","0.86","1","2","R1","$34,900","82","1,104","$27.17","0.86","Manufactured with Land","1",,"250-635-9184","3.5%",,,"0","0.00",,,"3","V0J 2A0",,,"BC",,,,
"N229694","Residential Detached","S","19 2155 COMMODORE CRESCENT","Williams Lake - Rural North","1987","Manufactured","26","Williams Lake (Zone 27)","Williams Lake","11/30/2013","GEORGE BEST","1","$359.00","7/22/2013","880-078-627",,,"9/13/2013","$31,000","$30.39","0.89","1","2","MHP","$34,900","53","1,020","$30.39","0.89","Manufactured","1",,"250-305-7034","3% ON 1ST $100,000 AND 1.5% ON REMAINDER","EVERGREEN MOBILE HOME PARK.","0","0","0.00",,"$255.00","2","V2G 5E1",,,"BC",,,,
"N220494","Land Only","S","LOT 6 CANIUM ROAD","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","6/30/2014","DARREL WARMAN",,"$385.00","7/9/2012","001-565-141",,,"9/11/2013","$32,500",,"0.82",,,"R1-1","$39,500","429",,,"0.78","House/Single Family",,"Road Access","250-395-3422","3.4% ON 1ST $100,000","108 MILE RANCH, BC",,,"0.00","Yes",,,"V0K 2Z0","No","LAND UNDER 1 ACRE","BC","None",,"None","City/Municipal"
"N220507","Land Only","S","LOT 5 CANIUM ROAD","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","6/30/2014","DARREL WARMAN",,"$386.00","7/9/2012","002-289-725",,,"9/11/2013","$35,000",,"0.89",,,"R1-1","$39,500","429",,,"0.84","House/Single Family",,"Road Access","250-395-3422","3.4%","108 MILE RANCH","171",,"154.00","Yes",,,"V0K 2Z0","No","UNDER 1 ACRE","BC","None",,"None","City/Municipal"
"V1025243","Residential Attached","S","1008 5911 MINORU BOULEVARD","Brighouse","1999","Apartment/Condo","14","Richmond","Richmond","5/31/2014","SEAN HU","1","$930.00","9/4/2013","024-508-578","18","$92.76","9/5/2013","$36,000","$119.21","0.90","1","0","CDT1","$40,000","1","302","$119.21","0.90","Apartment/Condo","0",,"778-389-1611","3.255% ON 1ST $100,000","VANCOUVER AIRPORT HILTON HOTEL",,"0",,,,,"V6X 4C7",,"IN RENTAL POOL","BC",,,,
