"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N228662","Residential Detached","S","1526 N KITWANGA ROAD","Kitwanga","1980","Manufactured with Land","33","Smithers And Area (Zone 54)","Kitwanga","3/31/2014","LR","1","$182.00","6/19/2013","007-995-270",,,"10/9/2013","$16,000","$18.43","0.64","1","1","R1","$24,900","112","868","$18.43","0.54","Manufactured with Land","1",,"250-635-9184","3.5%",,,"0","0.00",,,"3","V0J 2A0",,,"BC",,,,
"N217718","Land Only","S","140 QUARTZ ROAD","Fraser Lake",,,,"Vanderhoof And Area (Zone 56)","Fraser Lake","10/17/2013","CARL",,"$222.00","4/17/2012","005-330-696",,,"10/9/2013","$25,000",,"0.83",,,"H1","$30,000","540",,,"0.68","Other",,"Road Access","250-567-2271","3.5%",,,,,"Yes",,,"V0J 1S0",,,"BC","None",,"None","None"
"N230657","Residential Detached","S","25 8474 BUNCE ROAD","Haldi","1988","Manufactured with Land","25","PG City South (Zone 74)","Prince George","12/15/2013","FRED GORLEY","1","$376.00","8/8/2013","800-079-521",,,"10/10/2013","$28,000","$30.30","0.80","1","2","MHP","$34,900","63","924","$30.30","0.70","Manufactured with Land","1",,"250-961-4400","3.5%",,,"0","0.00",,"$310.00",,"V2N 4S4",,,"BC",,,,
"N231407","Land Only","S","LOT 18 MARLIN DRIVE","Salmon Valley",,,,"PG Rural North (Zone 76)","Salmon Valley","8/29/2014","BILL OLLINGER",,"$136.00","10/3/2013","009-555-293",,,"10/10/2013","$30,000",,"0.87",,,"CR2","$34,500","7",,,"0.87","House/Single Family",,"Road Access","250-552-8565","FLAT FEE OF $2500","SALMON VALLEY",,,"0.00","Yes",,,"V2K 5W4","Not Known",,"BC","None",,"None","None"
"V1026638","Residential Detached","S","27 1123 FLUME ROAD","Roberts Creek","1986","Manufactured","27","Sunshine Coast","Roberts Creek","11/30/2013","GARY OR LANA SHEPHERD","1","$532.00","8/30/2013","800-079-699",,,"10/9/2013","$35,000","$32.93","0.91","1","2","RM1","$38,500","40","1,063","$32.93","0.67","Manufactured","1",,"604-583-2000","3.22%-1ST $100K (MIN $1,000)","IKELON PARK",,"1","0.00",,"$330.00","2","V0V 0V0",,"SELLER NEVER LIVED THERE","BC",,,,
"N229029","Residential Detached","S","32 5378 PARK DRIVE","103 Mile House","1993","Manufactured","20","100 Mile House (Zone 10)","100 Mile House","10/31/2013","MEL OR ADAM","1","$338.00","6/29/2013","800-077-942",,,"10/15/2013","$38,000","$38.78","0.85","1","2","MHP","$44,900","108","980","$38.78","0.85","Manufactured","1",,"250-395-3424","3.4%",,,"1","0.00",,"$315.00",,"V0K 2E1",,,"BC",,,,
"N231524","Land Only","S","8615 74TH STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","7/31/2014","CHERIE",,"$104.00","9/17/2013","012-483-575",,,"10/13/2013","$40,000","$5.44","1.00",,,"R4","$40,000","26",,"$5.44","1.00","Mixed",,"No Access","250-263-1011","3% ON THE 1ST $100,000",,"150",,"49.15","Yes",,,"V1J 2Y5",,"Y","BC","Nearby",,"Nearby","City/Municipal"
"N231521","Land Only","S","8607 74TH STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","7/31/2014","CHERIE",,"$104.00","9/17/2013","012-483-559",,,"10/13/2013","$40,000",,"1.00",,,"R4","$40,000","26",,,"1.00","Mixed",,"No Access","250-263-1011","3% ON THE 1ST $100,000",,"150",,"49.15","Yes",,,"V1J 2Y5",,,"BC","None",,"None","None"
"N231522","Land Only","S","8611 74TH STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","7/31/2014","CHERIE",,"$104.00","9/17/2013","012-483-567",,,"10/13/2013","$40,000",,"1.00",,,"R4","$40,000","26",,,"1.00","Mixed",,"No Access","250-263-1011","3% ON THE 1ST $100,000",,"150",,"49.15","Yes",,,"V1J 2Y5",,,"BC","None",,"None","None"
"N231514","Land Only","S","8603 74TH STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","7/31/2014","CHERIE",,"$104.00","9/17/2013","012-483-516",,,"10/13/2013","$40,000",,"1.00",,,"R4","$40,000","26",,,"1.00","Mixed",,"No Access","250-263-1011","3% ON THE 1ST $100,000",,"150",,"49.00","Yes",,,"V1J 2Y5",,,"BC","None",,"None","None"
"F1300239","Residential Detached","S","25 2270 196TH STREET","Brookswood Langley","1977","Manufactured","36","Langley","Langley","12/16/2013","DENNIS GRAHAM","1",,"1/4/2013","900-565-242",,,"10/10/2013","$42,000","$53.57","0.92","1","2","MH-1","$45,800","279","784","$53.57","0.73","Manufactured","1",,"604-760-4611","S-4%","PINE RIDGE MOBILE PARK",,"0","0.00",,"$435.00","2","V2Z 1N6",,,"BC",,,,
"N230932","Residential Detached","S","27705 N NESS LAKE ROAD","Ness Lake","9999","Recreational","999","PG Rural North (Zone 76)","Prince George","3/20/2014","KIRK","0","$1,284.00","9/12/2013","011-742-453",,,"10/7/2013","$44,900","$56.62","1.00","0","2","R3","$44,900","25","793","$56.62","1.00","Recreational","1",,"250-981-3535","3%",,"373","1","84.00",,,,"V2K 5M9",,,"BC",,,,
"F1322710","Residential Detached","S","10 15820 FRASER HIGHWAY","Fleetwood Tynehead","1992","Manufactured","21","Surrey","Surrey","1/3/2014","Les Wellman","1","$177.00","9/26/2013","900-568-677",,,"10/17/2013","$50,000","$54.11","0.86","1","2","MHP","$57,900","21","924","$54.11","0.86","Manufactured","1",,"604-581-3838","S-3.2% 1ST 100K/1.15% BAL","Greentree Estates",,"0","0.00",,"$445.00","3","V4N 0Y2",,"absentee owner","BC",,,,
"N218878","Land Only","S","129 CRESTVIEW DRIVE","Prince Rupert - City",,,,"Prince Rupert (Zone 52)","Prince Rupert","11/29/2013","MIKE ORSE",,"$865.00","5/23/2012","010-228-411",,,"10/15/2013","$53,000","$9.88","0.82",,,"R2","$65,000","510",,"$9.88","0.82","House/Single Family",,"Road Access","250-600-6620","3% ON FIRST $100,000",,,,"0.00","No",,,"V8J 2Z4","Not Known",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N231240","Residential Detached","S","42 208 8TH STREET","100 Mile House - Town","1997","Manufactured","16","100 Mile House (Zone 10)","100 Mile House","3/26/2014","DARREL WARMAN","1","$606.00","9/26/2013","800-080-243",,,"10/8/2013","$57,000","$60.77","0.95","1","3","MHP","$59,900","12","938","$60.77","0.95","Manufactured","1",,,"3.4% ON THE 1ST $100,000","SCENIC PLACE MOBILE PARK",,"0","0.00",,"$305.00","2","V0K 2E0",,,"BC",,,,
