"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"V1023073","Residential Detached","S","480 SUNDANCE CRESCENT","Park Royal","1968","Manufactured","45","West Vancouver","West Vancouver","3/16/2014","RHONDA ROE","2","$590.00","8/16/2013","800-066-195",,,"11/8/2013","$18,000","$15.65","0.72","2","2","MHP","$25,000","84","1,150","$15.65","0.37","Manufactured","1",,"604-313-8630","3% OF THE SELLING PRICE","CAPILANO MOBILE HOME PARK","0.00","1","0.00",,"$640.13","1","V7P 1B8",,,"BC",,,,
"N230524","Land Only","S","84 2500 GRANT ROAD","Hart Highway",,,,"PG City North (Zone 73)","Prince George","8/29/2014","NORM OR KORY",,"$204.00","8/29/2013","024-167-371",,,"11/12/2013","$18,900","$4.21","0.95",,,"RS5","$19,900","75",,"$4.21","0.95","Other",,"Road Access","250-565-7998","3.5%","NORTHRIDGE PROPERTIES",,,"0.00","Yes",,,"V2K 4X9","No",,"BC","At Lot Line",,"Available","City/Municipal"
"N214961","Land Only","S","LOOS ROAD","Dome Creek",,,,"Robson Valley (Zone 81)","McBride","11/22/2014","RODGER",,"$345.00","12/5/2011","015-196-399",,,"11/12/2013","$37,000",,"0.76",,,"RU5","$49,000","708",,,"0.47","Other",,"Allowed Access","250-569-2793","2%",,,,,"Yes",,,"V0J 3E0","Not Known",,"BC","None",,"None","None"
"N231612","Residential Attached","S","3904 RAILWAY AVENUE","Smithers - Town","1975","Townhouse","38","Smithers And Area (Zone 54)","Smithers","1/8/2014","DAVE","1","$935.00","10/8/2013","008-257-973",,,"11/4/2013","$37,500","$24.67","2.08","2","3","R2","$18,000","27","1,520","$24.67","2.08","Townhouse","1",,"250-847-5999","$1000",,,"0","0.00",,,,"V0J 2N0",,,"BC",,,,
"F1305525","Residential Detached","S","54 9950 WILSON STREET","Stave Falls","1994","Manufactured","19","Mission","Mission","12/28/2013","MARY","1","$803.00","3/4/2013","900-566-004",,,"11/11/2013","$40,000","$51.02","1.00","1","2","MHP","$40,000","252","784","$51.02","0.80","Manufactured","1",,"604-308-5088","S-5% 1ST 100K","Ruskin Place Mobile Home Park",,"1","0.00",,"$507.00","2","V4S 1B3",,,"BC",,,,
"N230807","Residential Detached","S","3147 HART HIGHWAY","Hart Highway","9999","House with Acreage","999","PG City North (Zone 73)","Prince George","10/31/2014","HARVEY CLARK","1","$1,371.00","9/9/2013","012-787-612",,,"11/12/2013","$43,000","$27.04","0.66","1","3","RS2","$65,000","64","1,590","$27.04","0.66","House with Acreage","1",,"250-613-6607","3%",,,"0","0.00",,,"4","V2K 1M8",,,"BC",,,,
"N229605","Residential Detached","S","91 770 N 11TH AVENUE","Williams Lake - City","1994","Manufactured","19","Williams Lake (Zone 27)","Williams Lake","12/31/2013","SUSAN","2","$520.00","7/17/2013","800-078-428",,,"11/5/2013","$45,000","$43.69","0.90","2","3","MHP","$49,900","111","1,030","$43.69","0.90","Manufactured","1",,"250-267-1088","$1500 FLAT FEE","FRANLEE MOBILE HOME PARK","0","0","0.00",,"$320.00",,"V2G 2M4",,,"BC",,,,
"N206024","Land Only","S","LOT 4 CANIM LAKE ROAD","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","6/30/2014","MARTIN SCHERRER",,"$632.00","11/19/2010","004-485-726",,,"11/4/2013","$47,000",,"0.79",,,"RR1","$59,900","1081",,,"0.59","Other",,"Road Access","250-593-2253","5%",,,,,"Yes",,,"V0K 1J0","Not Known",,"BC","None",,"None","None"
"V998552","Residential Detached","S","84 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1968","Manufactured","45","Sunshine Coast","Gibsons","12/31/2013","JON","1","$240.00","3/27/2013","800-024-310",,,"11/11/2013","$49,500","$58.93","1.00","1","2","RM-2","$49,500","229","840","$58.93","1.00","Manufactured","1",,"604-886-2277","5%","POPLARS MOBILE HOME PARK",,"1","0.00",,"$420.00","2","V0N 1V5",,,"BC",,,,
"V1029732","Residential Attached","S","307 4653 BLACKCOMB WAY","Benchlands","2000","Apartment/Condo","13","Whistler","Whistler","2/15/2014","Sally Warner","1","$0.00","9/30/2013","024-756-059",,"$274.00","11/8/2013","$50,000","$78.74","0.93","1","1","TA13","$53,900","39","635","$78.74","0.93","Apartment/Condo","1",,"604-932-2300","3%","Horstman House",,"1",,,,"1","V0N 1B4",,,"BC",,,,
"N215692","Land Only","S","LOT 1 BABINE LAKE","Smithers - Rural",,,,"Smithers And Area (Zone 54)","Smithers","2/15/2014","DAVE/SONIA",,"$995.00","2/7/2012","011-967-773",,,"11/9/2013","$50,000",,"0.63",,,"N/A","$79,900","641",,,"0.33","Recreational",,"Water Access","250-847-5999","4% ON 1ST $100,000/2% ON REMAINDER",,,,"0.00","Yes",,,"V0J 2N6",,,"BC","None",,"None","None"
