"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"H1302042","Residential Detached","S","35 1884 HEATH STREET","Agassiz","1981","Manufactured","32","Agassiz","Agassiz","11/30/2013","HENDRICK/JENNIFER","1","$80.00","5/16/2013","700-008-505",,,"9/21/2013","$18,000","$22.06","0.72","1","2","RMH","$25,000","128","816","$22.06","0.72","Manufactured","1",,"604-858-7179","$2500 L1/2BF***","HEATH COURT",,"0","0.00",,"$372.00","2","V0M 1A2",,,"BC",,,,
"F1314938","Residential Detached","S","62 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1976","Manufactured","37","Surrey","Surrey","12/31/2013","Tore Jacobsen","1","$112.00","6/19/2013","900-567-720",,,"9/30/2013","$18,750","$21.65","0.75","1","2","MHP","$25,000","103","866","$21.65","0.75","Manufactured","1",,"778-886-7351","S-4%","Plaza",,"0","0.00",,"$650.00","5","V3W 5C2",,"SELLER NEVER LIVED THERE","BC",,,,
"V994625","Residential Detached","S","89 201 CAYER STREET","Maillardville","1973","Manufactured","40","Coquitlam","Coquitlam","9/30/2014","SUE GALWAY","1","$178.00","3/5/2013","800-074-708",,,"9/23/2013","$19,350","$31.01","0.85","1","2","RMH-1","$22,900","202","624","$31.01","0.59","Manufactured","1",,"604-828-8476","4.6%","WILDWOOD PARK",,"0","0.00",,"$640.00","2","V3K 2X8",,,"BC",,,,
"N229267","Residential Detached","S","4 BAYVIEW DRIVE","Port Clements","1970","House/Single Family","43","Prince Rupert (Zone 52)","Port Clements","12/21/2013","LYNN","0","$460.00","6/30/2013","013-212-559",,,"9/27/2013","$21,000","$21.88","0.50","1","3","R1","$42,000","89","960","$21.88","0.50","House/Single Family","1",,"250-637-1365","3% OF SELLING PRICE",,"150.40","1","156.70",,,"6","V0T 1R0",,,"BC",,,,
"N226018","Land Only","S","2278 TIMOTHY ROAD","Quesnel Rural - South",,,,"Quesnel (Zone 28)","Quesnel","11/15/2013","BOBBI",,"$150.00","4/5/2013","009-940-871",,,"9/21/2013","$28,000",,"0.80",,,"RR1","$34,900","169",,,"0.80","House/Single Family",,"Allowed Access","250-991-9063","3%","YENDRES SUBDIVISION","412",,"125.00","Yes",,,"V2J 6K8","Not Known",,"BC","None",,"None","Well - Drilled"
"N228717","Residential Detached","S","4211 15TH AVENUE","Hazelton","1975","Manufactured with Land","38","Smithers And Area (Zone 54)","New Hazelton","6/30/2014","RON","1","$780.00","6/18/2013","013-964-453",,,"9/27/2013","$30,000","$41.67","0.86","1","1","R-1","$35,000","101","720","$41.67","0.86","Manufactured with Land","1",,"250-847-0335","$1250 FLAT FEE",,"120","1","99.00",,,,"V0J 2J0",,,"BC",,,,
"V1027619","Residential Detached","S","24 23217 CALVIN CRESCENT","East Central","1968","Manufactured","45","Maple Ridge","Maple Ridge","9/30/2014","THE RALPH TELEP TEAM","1","$500.00","9/12/2013","800-079-892",,,"9/23/2013","$36,000","$37.66","0.91","1","3","CS3","$39,800","11","956","$37.66","0.91","Manufactured","1",,"604-467-9300","3.255% ON FIRST $100,000/1.1625% ON BAL","GARIBALDI MOBILE HOME PARK",,"0","0.00",,"$485.00","4","V2X 4S3",,,"BC",,,,
"V979622","Residential Detached","S","6 39768 GOVERNMENT ROAD","Northyards","1973","Manufactured","39","Squamish","Squamish","11/30/2013","DAWN MORTENSEN","1","$310.00","11/6/2012","800-072-034",,,"9/29/2013","$38,000","$55.88","0.84","1","3","RMH1","$45,000","327","680","$55.88","0.64","Manufactured","1",,"604-815-3838","3.5%","THREE RIVERS",,"0","0.00",,"$444.00","2","V8B 0A6",,,"BC",,,,
"H1303581","Residential Attached","S","403 45745 PRINCESS AVENUE","Chilliwack W Young-Well","1995","Apartment/Condo","18","Chilliwack","Chilliwack","12/31/2013","Laura Nisbet","1","$290.00","9/11/2013","019-149-085","7","$261.20","9/28/2013","$39,000","$40.63","0.87","1","1","R6","$44,900","17","960","$40.63","0.87","Apartment/Condo","1",,"604-795-2955","$2500.00 L 1/2 BF",,,"1","0.00",,,"1","V2P 2B5",,"POA - never lived there","BC",,,,
"N228062","Land Only","S","LOT A PINE STREET","Telkwa",,,,"Smithers And Area (Zone 54)","Telkwa","6/1/2014","JEREMY",,"$500.00","6/1/2013","800-077-179",,,"9/21/2013","$40,000","$3.47","0.89",,,"R-4","$45,000","112",,"$3.47","0.81","House/Single Family",,"Road Access","250-847-0830","3.5%",,"187",,"61.55","Yes",,,"V0J 2X2","No",,"BC","At Lot Line",,"None","City/Municipal"
"F1307031","Residential Detached","S","5 7850 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","37","Surrey","Surrey","12/21/2013","Krystyna Watts","1","$280.00","3/21/2013","900-566-506",,,"9/29/2013","$41,000","$35.59","0.91","2","2","MNF","$44,900","192","1,152","$35.59","0.75","Manufactured","1",,"604-315-5759","S-4%","Bear Creek Glen",,"0","0.00",,"$774.00","2","V3W 5B2",,,"BC",,,,
"H1203914","Residential Detached","S","42 62790 FLOOD HOPE ROAD","Hope Center","1996","Manufactured","16","Hope","Hope","10/29/2013","DAVID","2","$575.00","9/21/2012","700-008-447",,,"9/25/2013","$45,000","$47.27","0.82","2","3","MHP","$55,000","369","952","$47.27","0.64","Manufactured","1",,"604-869-2945","$2000 FLAT FEE L1/2BF",,,"0","0.00",,"$402.00","2","V0X 1L2",,,"BC",,,,
"N229266","Residential Detached","S","94 95 LAIDLAW ROAD","Smithers - Rural","1970","Manufactured","43","Smithers And Area (Zone 54)","Smithers","10/31/2013","JEREMY PENNINGA","1","$259.00","7/9/2013","800-078-105",,,"9/28/2013","$46,000","$54.76","0.96","1","2","MHP","$48,000","81","840","$54.76","0.77","Manufactured","1",,"250-847-0830","3.5%",,,"0","0.00",,"$285.00","2","V0J 2N0",,,"BC",,,,
"N229767","Residential Attached","S","311 440 CEDAR AVENUE","100 Mile House - Town","1973","Apartment/Condo","40","100 Mile House (Zone 10)","100 Mile House","1/18/2014","MICHELLE/GISELA","1","$632.00","7/18/2013","024-128-872",,"$171.67","9/30/2013","$47,000","$76.18","0.94","1","1","R6","$49,800","74","617","$76.18","0.94","Apartment/Condo","1",,"250-644-1100","3.4%","SHERIDAN MANOR",,"0",,,,,"V0K 2E0",,,"BC",,,,
"F1311073","Residential Detached","S","63 27111 0 AVENUE","Otter District","1984","Manufactured","29","Langley","Langley","10/29/2013","RAY/ANGIE","2","$400.00","5/6/2013","900-567-117",,,"9/26/2013","$47,500","$40.70","0.80","2","2","MHP","$59,500","143","1,167","$40.70","0.80","Manufactured","1",,"604-857-1100","S-4.6%*","PIONEER PARK",,"1",,,"$260.00","2","V4W 2T1",,,"BC",,,,
"N229926","Land Only","S","LOT 51-52 KROYER ROAD","Lakelse Lake",,,,"Terrace (Zone 88)","Lakelse Lake","1/2/2014","HELENA",,"$354.00","8/2/2013","028-288-742",,,"9/24/2013","$52,000","$1.71","0.87",,,"RR","$59,900","53",,"$1.71","0.87","House/Single Family",,"Road Access","250-975-1818","3% OF THE SALES PRICE PLUS TAX.",,"200.00",,"152.00","No",,,"V8G 0G2",,,"BC","None",,"Available","Other"
